Type,Address,Delegator,BTC Address,Signer Key,Amount,Txid,Time
stack-aggregation-increase,SP37NDP02F9Q8Q3RYKRNYN1QNP5N2RDQYM6R9Z4PK,SP37NDP02F9Q8Q3RYKRNYN1QNP5N2RDQYM6R9Z4PK,bc1qxf5ephyanvpxe593a3kg36cx0k92dq3yua46n2,,5158587261,0x3efe494942a15e05ea839d838f1dc0fb37aad4e39df8ae9121a7816c471fdbc9,8/22/2025 7:58:51 AM
stack-aggregation-commit,SP21D6BW36TSGWAZS8K4JAJVTNXWKQN9G3TH5MG6A,SP21D6BW36TSGWAZS8K4JAJVTNXWKQN9G3TH5MG6A,15uuC9CPwSuV3inJcuU5Uon111yosYbzAb,03a541c1ec2cfb32da48cfadf439c9b2f27d166bbffa18a178c7a6a0d54cfa7813,150000000000,0x957623b5f094152a1c921f4071ce88bcef993d9cb4eed38dcfae1071f4c2766e,8/22/2025 5:19:52 AM
stack-aggregation-commit,SP249RRK1HD531X0ZSMWYKKP4T94YBQT1NSYVFWPQ.contributor,SP249RRK1HD531X0ZSMWYKKP4T94YBQT1NSYVFWPQ.contributor,bc1qvsytlzdcqwxxrrz26msr6rfneajcrjtcw6k4xx,02844807121921880119fe05ae47fccb4945a4bb2f840fe7de66e6f32640bc8169,74970544255680,0x5fbd3808ead7e83ec24801961a53f7038e3735320c54fb7985410bfd15a7804d,8/22/2025 4:43:17 AM
